id,name,ranking,adm_rate,size,SAT_math,SAT_EBRW,ACT_composite,in_state_cost,out_state_cost,institution_type,grad_debt_median,completion_rate,state,majors
101,Williams College,21,0.1458,2033,745,729,33,75520,75520,Private nonprofit,12702,89.6,MA,"[""American/United States Studies/Civilization"", ""Anthropology"", ""Area Studies, Other"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Asian Studies/Civilization"", ""Astronomy"", ""Astrophysics"", ""Biology/Biological Sciences, General"", ""Chemistry, General"", ""Chinese Language and Literature"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Comparative Literature"", ""Computer Science"", ""Development Economics and International Development"", ""Drama and Dramatics/Theatre Arts, General"", ""Econometrics and Quantitative Economics"", ""English Language and Literature, General"", ""Environmental Science"", ""Environmental Studies"", ""Ethnic, Cultural Minority, Gender, and Group Studies, Other""]"
100,William Jewell College,328,0.4763,928,575,584,25,49248,49248,Private nonprofit,25000,54.1,MO,"[""Accounting"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Chemistry, General"", ""Civil Engineering, General"", ""Computational and Applied Mathematics"", ""Digital Communication and Media/Multimedia"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""History, General"", ""International Relations and Affairs"", ""Liberal Arts and Sciences/Liberal Studies"", ""Mathematics, General"", ""Molecular Biology""]"
99,Westmont College,189,0.8471,1285,610,630,25,64240,64240,Private nonprofit,23000,70.6,CA,"[""Anthropology"", ""Art Teacher Education"", ""Art/Art Studies, General"", ""Biology/Biological Sciences, General"", ""Business/Commerce, General"", ""Business/Managerial Economics"", ""Chemistry, General"", ""Computer Science"", ""Computer and Information Sciences, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Education, General"", ""Elementary Education and Teaching"", ""Engineering Physics/Applied Physics"", ""English Language and Literature, General"", ""English/Language Arts Teacher Education"", ""French Language and Literature"", ""History, General"", ""Kinesiology and Exercise Science"", ""Liberal Arts and Sciences/Liberal Studies"", ""Mathematics Teacher Education"", ""Mathematics, General""]"
98,Washington & Jefferson College,208,0.4785,1378,610,616,26,64082,64082,Private nonprofit,27000,69.7,PA,"[""Accounting"", ""Art Teacher Education"", ""Art/Art Studies, General"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Biophysics"", ""Business/Commerce, General"", ""Chemistry, General"", ""Communication and Media Studies, Other"", ""Economics, General"", ""Economics, Other"", ""Education, General"", ""English Language and Literature, General"", ""Environmental Science"", ""Environmental Studies"", ""French Language and Literature"", ""German Language and Literature""]"
97,Wagner College,311,0.6969,1763,-1,-1,25,62131,62131,Private nonprofit,25000,63.4,NY,"[""Accounting"", ""Anthropology"", ""Art/Art Studies, General"", ""Biology/Biological Sciences, General"", ""Biopsychology"", ""Business Administration and Management, General"", ""Chemistry, General"", ""Computer Science"", ""Computer and Information Sciences, Other"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Education, General"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""Finance, General"", ""Fine and Studio Arts Management"", ""French Studies"", ""History, General"", ""International Relations and Affairs""]"
96,Vassar College,56,0.2378,2323,730,710,32,75860,75860,Private nonprofit,17695,87.8,NY,"[""African Studies"", ""American/United States Studies/Civilization"", ""Anthropology"", ""Art History, Criticism and Conservation"", ""Asian Studies/Civilization"", ""Astronomy"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Chemistry, General"", ""Chinese Language and Literature"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Cognitive Psychology and Psycholinguistics"", ""Computer and Information Sciences, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Education, General"", ""English Language and Literature, General"", ""Environmental Science"", ""Environmental Studies"", ""Film/Cinema/Video Studies"", ""Fine/Studio Arts, General"", ""French Language and Literature"", ""Geography"", ""Geology/Earth Science, General"", ""German Language and Literature"", ""History, General""]"
95,Utah State University,401,0.8908,21473,580,590,24,18349,32887,Public,14000,20.5,UT,"[""Accounting"", ""Aeronautical/Aerospace Engineering Technology/Technician"", ""Aerospace, Aeronautical and Astronautical/Space Engineering"", ""Agricultural Business and Management, General"", ""Agricultural Business and Management, Other"", ""Agricultural Economics"", ""Agricultural Engineering"", ""Agricultural Teacher Education"", ""Agriculture, General"", ""Agronomy and Crop Science"", ""American/United States Studies/Civilization"", ""Animal Physiology"", ""Animal Sciences, General"", ""Anthropology"", ""Area Studies, Other"", ""Art/Art Studies, General"", ""Asian Studies/Civilization"", ""Audiology/Audiologist and Speech-Language Pathology/Pathologist"", ""Biological and Biomedical Sciences, Other"", ""Biology Teacher Education"", ""Biology/Biological Sciences, General"", ""Botany/Plant Biology"", ""Business Administration and Management, General"", ""Business Teacher Education"", ""Business/Commerce, General"", ""Chemistry Teacher Education"", ""Chemistry, General"", ""Civil Engineering, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Computer Engineering Technology/Technician"", ""Computer Engineering, General"", ""Computer and Information Sciences and Support Services, Other"", ""Computer and Information Sciences, General"", ""Curriculum and Instruction"", ""Dairy Science"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Ecology"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""English Language and Literature, General"", ""Entomology"", ""Environmental/Environmental Health Engineering"", ""Family and Consumer Economics and Related Services, Other"", ""Family and Consumer Sciences/Home Economics Teacher Education"", ""Fashion Merchandising"", ""Finance, General"", ""Foods, Nutrition, and Related Services, Other"", ""Forestry, General"", ""Forestry, Other"", ""French Language and Literature"", ""Geography"", ""Geology/Earth Science, General"", ""German Language and Literature"", ""Health Teacher Education"", ""History, General""]"
94,University of Utah,126,0.6615,23402,615,610,25,23869,42474,Public,17500,31.1,UT,"[""Accounting"", ""Anthropology"", ""Applied Mathematics, General"", ""Architecture"", ""Architecture and Related Services, Other"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Asian Studies/Civilization"", ""Athletic Training/Trainer"", ""Atmospheric Sciences and Meteorology, General"", ""Audiology/Audiologist and Speech-Language Pathology/Pathologist"", ""Ballet"", ""Bioengineering and Biomedical Engineering"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Business/Commerce, General"", ""Chemical Engineering"", ""Chemistry, General"", ""Chinese Language and Literature"", ""Civil Engineering, General"", ""Classics and Classical Languages, Literatures, and Linguistics, General"", ""Clinical Laboratory Science/Medical Technology/Technologist"", ""Communication, General"", ""Comparative Literature"", ""Computer Engineering, General"", ""Computer Science"", ""Consumer Economics"", ""Dance, General"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Education, General"", ""Electrical and Electronics Engineering"", ""Elementary Education and Teaching"", ""Engineering, General"", ""English Language and Literature, General"", ""Entrepreneurship/Entrepreneurial Studies"", ""Environmental Studies"", ""Ethnic, Cultural Minority, Gender, and Group Studies, Other"", ""Film/Cinema/Video Studies"", ""Finance, General"", ""French Language and Literature"", ""Geographic Information Science and Cartography"", ""Geological and Earth Sciences/Geosciences, Other""]"
93,University of San Diego,150,0.4979,5677,640,635,28,70999,70999,Private nonprofit,23782,68.3,CA,"[""Accounting"", ""Anthropology"", ""Architectural History and Criticism, General"", ""Art History, Criticism and Conservation"", ""Art/Art Studies, General"", ""Biochemistry"", ""Biology/Biological Sciences, General"", ""Biophysics"", ""Business Administration and Management, General"", ""Business/Managerial Economics"", ""Chemistry, General"", ""Communication, General"", ""Computer Science"", ""Drama and Dramatics/Theatre Arts, General"", ""Economics, General"", ""Electrical and Electronics Engineering"", ""Engineering, General"", ""English Language and Literature, General"", ""Environmental Science"", ""Ethnic Studies"", ""Finance, General""]"
92,University of Richmond,66,0.3297,3165,700,669,30,69750,69750,Private nonprofit,19991,82.2,VA,"[""Accounting"", ""African Studies"", ""American/United States Studies/Civilization"", ""Ancient Studies/Civilization"", ""Ancient/Classical Greek Language and Literature"", ""Anthropology"", ""Area Studies, Other"", ""Art History, Criticism and Conservation"", ""Asian Studies/Civilization"", ""Bioethics/Medical Ethics"", ""Biology/Biological Sciences, General"", ""Business Administration and Management, General"", ""Chemistry, General"", ""Chinese Studies"", ""Cognitive Science"", ""Computer and Information Sciences, General"", ""Criminal Justice/Safety Studies"", ""Dance, General"", ""Development Economics and International Development"", ""Drama and Dramatics/Theatre Arts, General"", ""Econometrics and Quantitative Economics"", ""Economics, General"", ""Economics, Other"", ""English Language and Literature, General"", ""Environmental Studies"", ""European Studies/Civilization"", ""Film/Cinema/Video Studies"", ""Fine/Studio Arts, General""]"
