id,name,city,state,sat,act,num_students,grad_rate,ap_enroll
194,Jones College Prep High School,Chicago,IL,1310,29,1861,0.95,0.481703
193,Laurel School,Shaker Heights,OH,1280,30,645,1.0,
192,La Jolla Country Day School,La Jolla,CA,1330,30,1101,1.0,
191,The Hill School,Pottstown,PA,1350,31,529,1.0,
190,Academy for Allied Health Science,Scotch Plains,NJ,1350,31,297,0.95,0.453901
189,Landon School,Bethesda,MD,1340,31,655,1.0,
188,Westtown School,West Chester,PA,1320,30,732,1.0,
187,BASIS Oro Valley,Oro Valley,AZ,1370,31,552,0.95,1.0
186,Hinsdale Central High School,Hinsdale,IL,1350,30,2786,0.95,0.372591
185,North Shore Country Day School,Winnetka,IL,1410,31,540,1.0,
184,Oakwood School,North Hollywood,CA,1340,31,780,1.0,
183,Sierra Canyon School,Chatsworth,CA,1320,29,1076,1.0,
182,Berkeley Preparatory School,Tampa,FL,1340,31,1340,,
181,Palo Alto High School,Palo Alto,CA,1380,31,2072,0.97,0.401907
180,Hathaway Brown School,Shaker Heights,OH,1370,31,799,1.0,
179,Mounds Park Academy,St. Paul,MN,1410,29,468,1.0,
178,Saratoga High School,Saratoga,CA,1420,32,1354,0.98,0.462835
177,Durham Academy,Durham,NC,1380,31,1227,1.0,
176,"The Academy for Mathematics, Science & Engineering",Rockaway,NJ,1510,35,101,,0.979382
175,Bergen County Technical High School - Teterboro,Teterboro,NJ,1360,31,665,0.95,0.544073
174,Northfield Mount Hermon School,Mount Hermon,MA,1340,31,655,1.0,
173,St. Anselm's Abbey School,Washington,DC,1390,31,256,1.0,
172,Pacific Ridge School,Carlsbad,CA,1340,31,616,1.0,
171,Donovan Catholic High School,Toms River,NJ,1170,28,722,1.0,
170,BASIS Independent Manhattan,New York,NY,1000,,342,,
169,Western Reserve Academy,Hudson,OH,1370,31,405,1.0,
168,Marymount High School,Los Angeles,CA,1330,30,369,1.0,
167,Atlanta International School,Atlanta,GA,1330,30,1284,1.0,
166,Oregon Episcopal School,Portland,OR,1370,31,870,1.0,
165,Catlin Gabel School,Portland,OR,1390,31,769,1.0,
164,The Green Vale School,Glen Head,NY,1000,,419,,
163,The Episcopal Academy,Newtown Square,PA,1340,31,1267,1.0,
162,The Blake School,Hopkins,MN,1390,32,1380,,
161,Gill St. Bernard's School,Gladstone,NJ,1330,30,658,1.0,
160,Blue School,New York,NY,1000,,299,,
159,Rutgers Preparatory School,Somerset,NJ,1330,31,640,,
158,Detroit Country Day School,Beverly Hills,MI,1430,31,1529,1.0,
157,Poly Prep Country Day School,Brooklyn,NY,1360,31,1122,1.0,
156,Eastside Preparatory School,Kirkland,WA,1390,32,428,1.0,
155,Sage Hill School,Newport Coast,CA,1360,31,545,,
154,Friends Seminary,New York,NY,1380,33,777,1.0,
153,Shady Side Academy,Pittsburgh,PA,1330,31,1028,1.0,
152,Thomas Jefferson School,Saint Louis,MO,1460,32,85,1.0,
151,Marymount School of New York,New York,NY,1370,31,759,1.0,
150,The Paideia School,Atlanta,GA,1350,31,1010,1.0,
149,Hawken School,Gates Mills,OH,1350,31,1082,1.0,
148,Nightingale-Bamford School,New York,NY,1390,32,592,,
147,The Athenian School,Danville,CA,1360,31,533,1.0,
146,Francis Parker School,San Diego,CA,1360,31,1185,,
145,Poolesville High School,Poolesville,MD,1400,32,1183,0.96,0.650622
144,Canyon Crest Academy,San Diego,CA,1390,31,2576,0.99,0.56541
143,Avenues: The World School,New York,NY,1390,32,1537,1.0,
142,Belmont Hill School,Belmont,MA,1410,33,450,1.0,
141,Kent Place School,Summit,NJ,1350,31,657,1.0,
140,Tesla STEM High School,Redmond,WA,1430,33,605,0.95,0.714794
139,Greenwich Academy,Greenwich,CT,1370,32,784,,
138,Maret School,Washington,DC,1360,31,651,,
137,Emma Willard School,Troy,NY,1370,30,358,1.0,
136,The Bryn Mawr School,Baltimore,MD,1340,30,780,1.0,
135,Saint Ann's School,Brooklyn,NY,1410,32,1085,,
134,Diocese of Brooklyn,,,1000,,,,
133,The Baldwin School,Bryn Mawr,PA,1390,30,584,1.0,
132,OCVTS - Marine Academy of Technology & Environmental Science (MATES),Manahawkin,NJ,1420,32,275,0.95,
